No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
423,1939,1,25,110222,31,50,,,5.4,MEA
424,1939,4,6,408,35.5,54.5,,,5.4,MEA
425,1939,6,3,149,34.61,56.47,33,,4.8,MOF
426,1939,6,10,83641,33.5,56.5,,,5.4,MEA
427,1939,6,30,143,34.2,56.6,,,,ISS
428,1939,7,24,172945,27.3,53.2,,,,ISS
429,1939,8,18,225231,27,54.5,,,,ISS
430,1939,8,28,213519,35.2,59.3,,,,ISS
431,1939,8,28,213536,36.4,58,12,,5.1,MEA
432,1939,9,19,324,37.8,57.7,17,,5.4,MEA
433,1939,9,19,323,38.36,57.34,,5.6,6,AMB
434,1939,11,4,1015,32.4,48.52,,6,5.7,AMB
435,1939,11,8,1721,36.32,57.97,,6.3,5.5,AMB
436,1939,11,28,142215,32.19,49.55,33,,5.3,MOF
437,1940,1,7,90151,25,64,,,,ISS
438,1940,3,9,200843,41.3,43.8,33,,4.9,KAR
439,1940,3,17,90851,38,43,33,,4.8,KAR
440,1940,4,17,103028,40.5,43,,,,ISS
441,1940,5,4,170433,35.8,58.1,,,,ISS
442,1940,5,4,182822,37.5,55,,,,ISS
443,1940,5,4,2101,35.76,58.53,,6.2,6.4,AMB
444,1940,5,5,60130,34.7,57.5,,,,ISS
445,1940,5,7,2224,41.7,43.8,,6.5,6,A88
446,1940,5,7,224216,41.9,43.9,33,,4.6,KAR
447,1940,5,11,,41.5,42.7,33,,5.2,KAR
448,1940,5,11,2340,41.6,43.8,33,,4.9,KAR
449,1940,5,23,1910,41.8,43.8,33,,4.7,KAR
450,1940,6,1,1510,27,54.5,,,,ISS
451,1940,6,7,230934,42,42,,,,ISS
452,1940,7,1,110802,41.5,43.8,33,,4.4,KAR
453,1940,7,6,72014,33.2,46.4,,,,ISS
454,1940,7,6,174512,33.5,46.5,,,5.4,MEA
455,1940,7,10,1311,41.2,43.6,10,,5.1,MEA
456,1940,7,11,12333,39.5,47.6,18,,5.1,MEA
457,1940,7,19,45326,37.5,57.5,13,,5.7,MEA
458,1940,9,23,131433,37,43,,,,ISS
459,1940,9,25,193120,36.4,52.1,,,,ISS
460,1940,10,18,122544,39.6,42.2,33,,5.6,KAR
461,1940,10,28,23418,40.5,43,,,,ISS
462,1940,12,16,95115,28,57,,,,ISS
463,1941,2,4,190907,27.3,53.2,,,,ISS
